PetID,PetType,Breed,Color,Size,Gender,pet_details,pet_characteristics
24,Dog,German Shepherd,black and red,Medium,Male,"loyal, courageous, intelligent, obedient, protective, confident, enjoys long walks in the park, is great with kids","large build, muscular, thick double coat, erect ears, long tail"
25,Dog,German Shepherd,black and tan,Large,Male,"loyal, courageous, intelligent, obedient, protective, confident, is very playful","large build, muscular, thick double coat, erect ears, long tail"
26,Dog,German Shepherd,black and tan,Small,Male,"loyal, courageous, intelligent, obedient, protective, confident, is a bit shy around strangers, is very playful","large build, muscular, thick double coat, erect ears, long tail"
27,Dog,German Shepherd,black and red,Medium,Male,"loyal, courageous, intelligent, obedient, protective, confident, loves belly rubs, is great with kids","large build, muscular, thick double coat, erect ears, long tail"
28,Dog,German Shepherd,black and red,Medium,Male,"loyal, courageous, intelligent, obedient, protective, confident, is always wagging tail","large build, muscular, thick double coat, erect ears, long tail"
29,Dog,German Shepherd,black and red,Small,Female,"loyal, courageous, intelligent, obedient, protective, confident, is a bit shy around strangers, prefers quiet evenings at home","large build, muscular, thick double coat, erect ears, long tail"
30,Dog,German Shepherd,black and red,Medium,Female,"loyal, courageous, intelligent, obedient, protective, confident, loves to chase squirrels","large build, muscular, thick double coat, erect ears, long tail"
31,Dog,German Shepherd,sable,Large,Female,"loyal, courageous, intelligent, obedient, protective, confident, is great with kids, is always wagging tail","large build, muscular, thick double coat, erect ears, long tail"
32,Dog,German Shepherd,black and red,Large,Male,"loyal, courageous, intelligent, obedient, protective, confident, is an excellent guard dog","large build, muscular, thick double coat, erect ears, long tail"
33,Dog,German Shepherd,sable,Small,Male,"loyal, courageous, intelligent, obedient, protective, confident, has a loud bark","large build, muscular, thick double coat, erect ears, long tail"
34,Dog,German Shepherd,sable,Large,Female,"loyal, courageous, intelligent, obedient, protective, confident, prefers quiet evenings at home","large build, muscular, thick double coat, erect ears, long tail"
35,Dog,German Shepherd,black and tan,Small,Male,"loyal, courageous, intelligent, obedient, protective, confident, is learning new tricks, is an excellent guard dog","large build, muscular, thick double coat, erect ears, long tail"
36,Dog,German Shepherd,sable,Small,Female,"loyal, courageous, intelligent, obedient, protective, confident, is a bit shy around strangers","large build, muscular, thick double coat, erect ears, long tail"
37,Dog,German Shepherd,black and tan,Small,Male,"loyal, courageous, intelligent, obedient, protective, confident, is a bit shy around strangers, is learning new tricks","large build, muscular, thick double coat, erect ears, long tail"
38,Dog,German Shepherd,sable,Large,Female,"loyal, courageous, intelligent, obedient, protective, confident, has a loud bark","large build, muscular, thick double coat, erect ears, long tail"
39,Dog,German Shepherd,sable,Small,Male,"loyal, courageous, intelligent, obedient, protective, confident, is an excellent guard dog","large build, muscular, thick double coat, erect ears, long tail"
40,Dog,German Shepherd,black and red,Large,Female,"loyal, courageous, intelligent, obedient, protective, confident, is great with kids","large build, muscular, thick double coat, erect ears, long tail"
41,Dog,German Shepherd,sable,Medium,Female,"loyal, courageous, intelligent, obedient, protective, confident, is very cuddly","large build, muscular, thick double coat, erect ears, long tail"
42,Dog,German Shepherd,sable,Small,Female,"loyal, courageous, intelligent, obedient, protective, confident, is great with kids","large build, muscular, thick double coat, erect ears, long tail"
43,Dog,German Shepherd,black and red,Small,Male,"loyal, courageous, intelligent, obedient, protective, confident, loves to chase squirrels","large build, muscular, thick double coat, erect ears, long tail"
44,Dog,German Shepherd,black and tan,Medium,Female,"loyal, courageous, intelligent, obedient, protective, confident, is always wagging tail, is very playful","large build, muscular, thick double coat, erect ears, long tail"
45,Dog,German Shepherd,black and red,Large,Male,"loyal, courageous, intelligent, obedient, protective, confident, is always wagging tail, is very playful","large build, muscular, thick double coat, erect ears, long tail"
46,Dog,German Shepherd,black and red,Medium,Male,"loyal, courageous, intelligent, obedient, protective, confident, is great with kids, is fluffy","large build, muscular, thick double coat, erect ears, long tail"
47,Dog,German Shepherd,black and red,Small,Female,"loyal, courageous, intelligent, obedient, protective, confident, is fluffy, loves to fetch","large build, muscular, thick double coat, erect ears, long tail"
48,Dog,German Shepherd,black and tan,Small,Female,"loyal, courageous, intelligent, obedient, protective, confident, is a bit shy around strangers, is great with kids","large build, muscular, thick double coat, erect ears, long tail"
49,Dog,German Shepherd,black and tan,Small,Female,"loyal, courageous, intelligent, obedient, protective, confident, loves belly rubs","large build, muscular, thick double coat, erect ears, long tail"
50,Dog,German Shepherd,black and tan,Large,Male,"loyal, courageous, intelligent, obedient, protective, confident, has expressive eyes, is an excellent guard dog","large build, muscular, thick double coat, erect ears, long tail"
51,Dog,German Shepherd,sable,Large,Female,"loyal, courageous, intelligent, obedient, protective, confident, is learning new tricks, is an excellent guard dog","large build, muscular, thick double coat, erect ears, long tail"
52,Dog,German Shepherd,black and tan,Medium,Male,"loyal, courageous, intelligent, obedient, protective, confident, prefers quiet evenings at home","large build, muscular, thick double coat, erect ears, long tail"
53,Dog,German Shepherd,black and tan,Medium,Male,"loyal, courageous, intelligent, obedient, protective, confident, is an excellent guard dog","large build, muscular, thick double coat, erect ears, long tail"
54,Dog,German Shepherd,black and red,Medium,Male,"loyal, courageous, intelligent, obedient, protective, confident, is fluffy","large build, muscular, thick double coat, erect ears, long tail"
55,Dog,German Shepherd,black and tan,Small,Female,"loyal, courageous, intelligent, obedient, protective, confident, is very playful, is always wagging tail","large build, muscular, thick double coat, erect ears, long tail"
56,Dog,German Shepherd,black and tan,Small,Female,"loyal, courageous, intelligent, obedient, protective, confident, enjoys long walks in the park, is an excellent guard dog","large build, muscular, thick double coat, erect ears, long tail"
57,Dog,German Shepherd,black and tan,Medium,Female,"loyal, courageous, intelligent, obedient, protective, confident, enjoys long walks in the park","large build, muscular, thick double coat, erect ears, long tail"
58,Dog,German Shepherd,black and red,Small,Female,"loyal, courageous, intelligent, obedient, protective, confident, loves to chase squirrels","large build, muscular, thick double coat, erect ears, long tail"
59,Dog,German Shepherd,black and tan,Large,Female,"loyal, courageous, intelligent, obedient, protective, confident, is always wagging tail","large build, muscular, thick double coat, erect ears, long tail"
60,Dog,German Shepherd,black and red,Large,Male,"loyal, courageous, intelligent, obedient, protective, confident, enjoys long walks in the park, is learning new tricks","large build, muscular, thick double coat, erect ears, long tail"
61,Dog,German Shepherd,black and red,Small,Male,"loyal, courageous, intelligent, obedient, protective, confident, is very cuddly, is very playful","large build, muscular, thick double coat, erect ears, long tail"
62,Dog,German Shepherd,black and red,Medium,Female,"loyal, courageous, intelligent, obedient, protective, confident, loves to chase squirrels","large build, muscular, thick double coat, erect ears, long tail"
63,Dog,German Shepherd,black and red,Small,Female,"loyal, courageous, intelligent, obedient, protective, confident, is very playful","large build, muscular, thick double coat, erect ears, long tail"
64,Dog,German Shepherd,black and tan,Small,Female,"loyal, courageous, intelligent, obedient, protective, confident, loves to chase squirrels","large build, muscular, thick double coat, erect ears, long tail"
65,Dog,German Shepherd,black and tan,Medium,Male,"loyal, courageous, intelligent, obedient, protective, confident, is an excellent guard dog","large build, muscular, thick double coat, erect ears, long tail"
66,Dog,German Shepherd,black and tan,Small,Female,"loyal, courageous, intelligent, obedient, protective, confident, has a loud bark, is always wagging tail","large build, muscular, thick double coat, erect ears, long tail"
67,Dog,German Shepherd,sable,Large,Male,"loyal, courageous, intelligent, obedient, protective, confident, is learning new tricks, has expressive eyes","large build, muscular, thick double coat, erect ears, long tail"
68,Dog,German Shepherd,sable,Small,Female,"loyal, courageous, intelligent, obedient, protective, confident, is very playful, prefers quiet evenings at home","large build, muscular, thick double coat, erect ears, long tail"
69,Dog,German Shepherd,sable,Medium,Male,"loyal, courageous, intelligent, obedient, protective, confident, is very cuddly, is fluffy","large build, muscular, thick double coat, erect ears, long tail"
70,Dog,German Shepherd,black and red,Medium,Female,"loyal, courageous, intelligent, obedient, protective, confident, enjoys long walks in the park","large build, muscular, thick double coat, erect ears, long tail"
71,Dog,German Shepherd,black and red,Small,Male,"loyal, courageous, intelligent, obedient, protective, confident, is always wagging tail","large build, muscular, thick double coat, erect ears, long tail"
72,Dog,German Shepherd,black and tan,Medium,Female,"loyal, courageous, intelligent, obedient, protective, confident, is an excellent guard dog","large build, muscular, thick double coat, erect ears, long tail"
73,Dog,German Shepherd,black and tan,Small,Female,"loyal, courageous, intelligent, obedient, protective, confident, is an excellent guard dog","large build, muscular, thick double coat, erect ears, long tail"
74,Dog,German Shepherd,black and red,Small,Male,"loyal, courageous, intelligent, obedient, protective, confident, loves belly rubs","large build, muscular, thick double coat, erect ears, long tail"
75,Dog,German Shepherd,black and red,Medium,Male,"loyal, courageous, intelligent, obedient, protective, confident, is always wagging tail","large build, muscular, thick double coat, erect ears, long tail"
76,Dog,German Shepherd,black and red,Large,Female,"loyal, courageous, intelligent, obedient, protective, confident, enjoys long walks in the park","large build, muscular, thick double coat, erect ears, long tail"
77,Dog,German Shepherd,black and tan,Large,Male,"loyal, courageous, intelligent, obedient, protective, confident, is a bit shy around strangers","large build, muscular, thick double coat, erect ears, long tail"
78,Dog,German Shepherd,black and red,Medium,Male,"loyal, courageous, intelligent, obedient, protective, confident, has expressive eyes, loves to fetch","large build, muscular, thick double coat, erect ears, long tail"
79,Dog,German Shepherd,black and tan,Small,Female,"loyal, courageous, intelligent, obedient, protective, confident, loves to fetch","large build, muscular, thick double coat, erect ears, long tail"
80,Dog,German Shepherd,sable,Small,Male,"loyal, courageous, intelligent, obedient, protective, confident, has a loud bark","large build, muscular, thick double coat, erect ears, long tail"
81,Dog,German Shepherd,black and tan,Medium,Female,"loyal, courageous, intelligent, obedient, protective, confident, is fluffy","large build, muscular, thick double coat, erect ears, long tail"
82,Dog,German Shepherd,black and red,Medium,Male,"loyal, courageous, intelligent, obedient, protective, confident, loves to fetch","large build, muscular, thick double coat, erect ears, long tail"
83,Dog,German Shepherd,black and tan,Large,Female,"loyal, courageous, intelligent, obedient, protective, confident, loves belly rubs","large build, muscular, thick double coat, erect ears, long tail"
84,Dog,German Shepherd,black and red,Large,Male,"loyal, courageous, intelligent, obedient, protective, confident, is very playful, has a loud bark","large build, muscular, thick double coat, erect ears, long tail"
85,Dog,German Shepherd,black and red,Medium,Male,"loyal, courageous, intelligent, obedient, protective, confident, is an excellent guard dog","large build, muscular, thick double coat, erect ears, long tail"
86,Dog,German Shepherd,black and tan,Large,Female,"loyal, courageous, intelligent, obedient, protective, confident, is learning new tricks","large build, muscular, thick double coat, erect ears, long tail"
87,Dog,German Shepherd,black and tan,Medium,Female,"loyal, courageous, intelligent, obedient, protective, confident, loves to fetch, prefers quiet evenings at home","large build, muscular, thick double coat, erect ears, long tail"
88,Dog,German Shepherd,black and red,Large,Male,"loyal, courageous, intelligent, obedient, protective, confident, is fluffy","large build, muscular, thick double coat, erect ears, long tail"
89,Dog,German Shepherd,black and red,Small,Male,"loyal, courageous, intelligent, obedient, protective, confident, is an excellent guard dog, enjoys long walks in the park","large build, muscular, thick double coat, erect ears, long tail"
90,Dog,German Shepherd,black and tan,Small,Male,"loyal, courageous, intelligent, obedient, protective, confident, has expressive eyes, is fluffy","large build, muscular, thick double coat, erect ears, long tail"
91,Dog,German Shepherd,black and red,Small,Female,"loyal, courageous, intelligent, obedient, protective, confident, is a bit shy around strangers, is learning new tricks","large build, muscular, thick double coat, erect ears, long tail"
92,Dog,German Shepherd,black and tan,Small,Female,"loyal, courageous, intelligent, obedient, protective, confident, enjoys long walks in the park","large build, muscular, thick double coat, erect ears, long tail"
93,Dog,German Shepherd,sable,Small,Male,"loyal, courageous, intelligent, obedient, protective, confident, is fluffy, is an excellent guard dog","large build, muscular, thick double coat, erect ears, long tail"
94,Dog,German Shepherd,sable,Large,Female,"loyal, courageous, intelligent, obedient, protective, confident, is always wagging tail, has expressive eyes","large build, muscular, thick double coat, erect ears, long tail"
95,Dog,German Shepherd,black and tan,Small,Female,"loyal, courageous, intelligent, obedient, protective, confident, has a loud bark","large build, muscular, thick double coat, erect ears, long tail"
96,Dog,German Shepherd,black and tan,Large,Male,"loyal, courageous, intelligent, obedient, protective, confident, is always wagging tail, has expressive eyes","large build, muscular, thick double coat, erect ears, long tail"
97,Dog,German Shepherd,sable,Small,Female,"loyal, courageous, intelligent, obedient, protective, confident, is always wagging tail","large build, muscular, thick double coat, erect ears, long tail"
98,Dog,German Shepherd,black and red,Small,Female,"loyal, courageous, intelligent, obedient, protective, confident, is fluffy, loves to chase squirrels","large build, muscular, thick double coat, erect ears, long tail"
99,Dog,German Shepherd,black and red,Large,Female,"loyal, courageous, intelligent, obedient, protective, confident, is learning new tricks","large build, muscular, thick double coat, erect ears, long tail"
100,Dog,German Shepherd,black and tan,Medium,Male,"loyal, courageous, intelligent, obedient, protective, confident, is always wagging tail, loves to fetch","large build, muscular, thick double coat, erect ears, long tail"
101,Dog,Retriever,white,Small,Female,"friendly, loyal, gentle, intelligent, playful, patient, is a bit shy around strangers","medium to large build, athletic body, dense water-resistant coat, floppy ears"
102,Dog,Retriever,white,Small,Male,"friendly, loyal, gentle, intelligent, playful, patient, is fluffy, is very playful","medium to large build, athletic body, dense water-resistant coat, floppy ears"
103,Dog,Retriever,beige,Medium,Female,"friendly, loyal, gentle, intelligent, playful, patient, is great with kids, loves belly rubs","medium to large build, athletic body, dense water-resistant coat, floppy ears"
104,Dog,Retriever,white,Medium,Female,"friendly, loyal, gentle, intelligent, playful, patient, is very playful","medium to large build, athletic body, dense water-resistant coat, floppy ears"
105,Dog,Retriever,orange,Large,Female,"friendly, loyal, gentle, intelligent, playful, patient, is very cuddly","medium to large build, athletic body, dense water-resistant coat, floppy ears"
106,Dog,Retriever,beige,Large,Female,"friendly, loyal, gentle, intelligent, playful, patient, loves to chase squirrels, is learning new tricks","medium to large build, athletic body, dense water-resistant coat, floppy ears"
107,Dog,Retriever,beige,Medium,Female,"friendly, loyal, gentle, intelligent, playful, patient, is always wagging tail, loves to chase squirrels","medium to large build, athletic body, dense water-resistant coat, floppy ears"
108,Dog,Retriever,beige,Large,Male,"friendly, loyal, gentle, intelligent, playful, patient, is very playful","medium to large build, athletic body, dense water-resistant coat, floppy ears"
109,Dog,Retriever,white,Small,Male,"friendly, loyal, gentle, intelligent, playful, patient, loves to chase squirrels, is fluffy","medium to large build, athletic body, dense water-resistant coat, floppy ears"
110,Dog,Retriever,orange,Small,Female,"friendly, loyal, gentle, intelligent, playful, patient, is great with kids, loves to chase squirrels","medium to large build, athletic body, dense water-resistant coat, floppy ears"
111,Dog,Retriever,white,Small,Female,"friendly, loyal, gentle, intelligent, playful, patient, is an excellent guard dog","medium to large build, athletic body, dense water-resistant coat, floppy ears"
112,Dog,Retriever,white,Large,Male,"friendly, loyal, gentle, intelligent, playful, patient, has expressive eyes","medium to large build, athletic body, dense water-resistant coat, floppy ears"
113,Dog,Retriever,orange,Small,Male,"friendly, loyal, gentle, intelligent, playful, patient, is a bit shy around strangers","medium to large build, athletic body, dense water-resistant coat, floppy ears"
114,Dog,Retriever,white,Large,Male,"friendly, loyal, gentle, intelligent, playful, patient, loves to chase squirrels, has expressive eyes","medium to large build, athletic body, dense water-resistant coat, floppy ears"
115,Dog,Retriever,beige,Small,Female,"friendly, loyal, gentle, intelligent, playful, patient, loves to fetch","medium to large build, athletic body, dense water-resistant coat, floppy ears"
116,Dog,Retriever,orange,Medium,Female,"friendly, loyal, gentle, intelligent, playful, patient, loves belly rubs, is always wagging tail","medium to large build, athletic body, dense water-resistant coat, floppy ears"
117,Dog,Retriever,orange,Small,Male,"friendly, loyal, gentle, intelligent, playful, patient, is very playful, is very cuddly","medium to large build, athletic body, dense water-resistant coat, floppy ears"
118,Dog,Retriever,orange,Large,Female,"friendly, loyal, gentle, intelligent, playful, patient, loves to fetch, is a bit shy around strangers","medium to large build, athletic body, dense water-resistant coat, floppy ears"
119,Dog,Retriever,orange,Medium,Female,"friendly, loyal, gentle, intelligent, playful, patient, is a bit shy around strangers, is great with kids","medium to large build, athletic body, dense water-resistant coat, floppy ears"
120,Dog,Retriever,orange,Medium,Male,"friendly, loyal, gentle, intelligent, playful, patient, loves to fetch, loves belly rubs","medium to large build, athletic body, dense water-resistant coat, floppy ears"
121,Dog,Retriever,white,Large,Male,"friendly, loyal, gentle, intelligent, playful, patient, is learning new tricks, enjoys long walks in the park","medium to large build, athletic body, dense water-resistant coat, floppy ears"
122,Dog,Retriever,white,Medium,Female,"friendly, loyal, gentle, intelligent, playful, patient, loves to chase squirrels","medium to large build, athletic body, dense water-resistant coat, floppy ears"
123,Dog,Retriever,orange,Small,Female,"friendly, loyal, gentle, intelligent, playful, patient, loves to chase squirrels, has expressive eyes","medium to large build, athletic body, dense water-resistant coat, floppy ears"
124,Dog,Retriever,orange,Medium,Male,"friendly, loyal, gentle, intelligent, playful, patient, is very cuddly","medium to large build, athletic body, dense water-resistant coat, floppy ears"
125,Dog,Retriever,white,Large,Male,"friendly, loyal, gentle, intelligent, playful, patient, has expressive eyes","medium to large build, athletic body, dense water-resistant coat, floppy ears"
126,Dog,Retriever,white,Medium,Female,"friendly, loyal, gentle, intelligent, playful, patient, is fluffy","medium to large build, athletic body, dense water-resistant coat, floppy ears"
127,Dog,Retriever,white,Large,Female,"friendly, loyal, gentle, intelligent, playful, patient, prefers quiet evenings at home","medium to large build, athletic body, dense water-resistant coat, floppy ears"
128,Dog,Retriever,orange,Large,Male,"friendly, loyal, gentle, intelligent, playful, patient, is an excellent guard dog","medium to large build, athletic body, dense water-resistant coat, floppy ears"
129,Dog,Retriever,white,Small,Male,"friendly, loyal, gentle, intelligent, playful, patient, is always wagging tail, loves to fetch","medium to large build, athletic body, dense water-resistant coat, floppy ears"
130,Dog,Retriever,white,Small,Female,"friendly, loyal, gentle, intelligent, playful, patient, is very cuddly, is an excellent guard dog","medium to large build, athletic body, dense water-resistant coat, floppy ears"
131,Dog,Retriever,white,Large,Male,"friendly, loyal, gentle, intelligent, playful, patient, has a loud bark, is very playful","medium to large build, athletic body, dense water-resistant coat, floppy ears"
132,Dog,Retriever,beige,Large,Female,"friendly, loyal, gentle, intelligent, playful, patient, is a bit shy around strangers","medium to large build, athletic body, dense water-resistant coat, floppy ears"
133,Dog,Retriever,beige,Small,Male,"friendly, loyal, gentle, intelligent, playful, patient, prefers quiet evenings at home, is very cuddly","medium to large build, athletic body, dense water-resistant coat, floppy ears"
134,Dog,Retriever,white,Small,Female,"friendly, loyal, gentle, intelligent, playful, patient, enjoys long walks in the park","medium to large build, athletic body, dense water-resistant coat, floppy ears"
135,Dog,Retriever,beige,Small,Male,"friendly, loyal, gentle, intelligent, playful, patient, is very cuddly","medium to large build, athletic body, dense water-resistant coat, floppy ears"
136,Dog,Retriever,orange,Small,Female,"friendly, loyal, gentle, intelligent, playful, patient, loves to chase squirrels, is great with kids","medium to large build, athletic body, dense water-resistant coat, floppy ears"
137,Dog,Retriever,orange,Large,Male,"friendly, loyal, gentle, intelligent, playful, patient, is great with kids, is very cuddly","medium to large build, athletic body, dense water-resistant coat, floppy ears"
138,Dog,Retriever,white,Large,Male,"friendly, loyal, gentle, intelligent, playful, patient, is always wagging tail, is very playful","medium to large build, athletic body, dense water-resistant coat, floppy ears"
139,Dog,Retriever,orange,Small,Male,"friendly, loyal, gentle, intelligent, playful, patient, has expressive eyes, is fluffy","medium to large build, athletic body, dense water-resistant coat, floppy ears"
140,Dog,Retriever,white,Small,Male,"friendly, loyal, gentle, intelligent, playful, patient, is an excellent guard dog","medium to large build, athletic body, dense water-resistant coat, floppy ears"
141,Dog,Retriever,white,Small,Female,"friendly, loyal, gentle, intelligent, playful, patient, is learning new tricks, is always wagging tail","medium to large build, athletic body, dense water-resistant coat, floppy ears"
142,Dog,Retriever,white,Small,Male,"friendly, loyal, gentle, intelligent, playful, patient, prefers quiet evenings at home","medium to large build, athletic body, dense water-resistant coat, floppy ears"
143,Dog,Retriever,white,Large,Male,"friendly, loyal, gentle, intelligent, playful, patient, is always wagging tail, loves to fetch","medium to large build, athletic body, dense water-resistant coat, floppy ears"
144,Dog,Retriever,beige,Medium,Female,"friendly, loyal, gentle, intelligent, playful, patient, has a loud bark","medium to large build, athletic body, dense water-resistant coat, floppy ears"
145,Dog,Retriever,orange,Large,Female,"friendly, loyal, gentle, intelligent, playful, patient, is a bit shy around strangers","medium to large build, athletic body, dense water-resistant coat, floppy ears"
146,Dog,Retriever,beige,Medium,Male,"friendly, loyal, gentle, intelligent, playful, patient, is fluffy","medium to large build, athletic body, dense water-resistant coat, floppy ears"
147,Dog,Retriever,beige,Large,Female,"friendly, loyal, gentle, intelligent, playful, patient, is very playful, loves to fetch","medium to large build, athletic body, dense water-resistant coat, floppy ears"
148,Dog,Retriever,white,Medium,Male,"friendly, loyal, gentle, intelligent, playful, patient, is learning new tricks","medium to large build, athletic body, dense water-resistant coat, floppy ears"
149,Dog,Retriever,white,Medium,Male,"friendly, loyal, gentle, intelligent, playful, patient, has a loud bark, is always wagging tail","medium to large build, athletic body, dense water-resistant coat, floppy ears"
150,Dog,Retriever,white,Small,Female,"friendly, loyal, gentle, intelligent, playful, patient, has expressive eyes, is always wagging tail","medium to large build, athletic body, dense water-resistant coat, floppy ears"
151,Dog,Retriever,orange,Small,Female,"friendly, loyal, gentle, intelligent, playful, patient, is very playful","medium to large build, athletic body, dense water-resistant coat, floppy ears"
152,Dog,Retriever,white,Small,Female,"friendly, loyal, gentle, intelligent, playful, patient, is learning new tricks","medium to large build, athletic body, dense water-resistant coat, floppy ears"
153,Dog,Retriever,white,Large,Male,"friendly, loyal, gentle, intelligent, playful, patient, has expressive eyes","medium to large build, athletic body, dense water-resistant coat, floppy ears"
154,Dog,Retriever,orange,Large,Female,"friendly, loyal, gentle, intelligent, playful, patient, loves belly rubs, has expressive eyes","medium to large build, athletic body, dense water-resistant coat, floppy ears"
155,Dog,Retriever,beige,Medium,Female,"friendly, loyal, gentle, intelligent, playful, patient, has expressive eyes","medium to large build, athletic body, dense water-resistant coat, floppy ears"
156,Dog,Retriever,beige,Small,Male,"friendly, loyal, gentle, intelligent, playful, patient, loves to chase squirrels, has a loud bark","medium to large build, athletic body, dense water-resistant coat, floppy ears"
157,Dog,Retriever,white,Medium,Female,"friendly, loyal, gentle, intelligent, playful, patient, is very playful, loves belly rubs","medium to large build, athletic body, dense water-resistant coat, floppy ears"
158,Dog,Retriever,white,Large,Female,"friendly, loyal, gentle, intelligent, playful, patient, is very playful","medium to large build, athletic body, dense water-resistant coat, floppy ears"
159,Dog,Retriever,orange,Small,Male,"friendly, loyal, gentle, intelligent, playful, patient, is always wagging tail","medium to large build, athletic body, dense water-resistant coat, floppy ears"
160,Dog,Retriever,orange,Medium,Male,"friendly, loyal, gentle, intelligent, playful, patient, is a bit shy around strangers, is fluffy","medium to large build, athletic body, dense water-resistant coat, floppy ears"
161,Dog,Retriever,orange,Medium,Male,"friendly, loyal, gentle, intelligent, playful, patient, is always wagging tail","medium to large build, athletic body, dense water-resistant coat, floppy ears"
162,Dog,Retriever,orange,Medium,Male,"friendly, loyal, gentle, intelligent, playful, patient, prefers quiet evenings at home","medium to large build, athletic body, dense water-resistant coat, floppy ears"
163,Dog,Retriever,white,Small,Male,"friendly, loyal, gentle, intelligent, playful, patient, is a bit shy around strangers, is very playful","medium to large build, athletic body, dense water-resistant coat, floppy ears"
164,Dog,Retriever,white,Large,Male,"friendly, loyal, gentle, intelligent, playful, patient, is learning new tricks","medium to large build, athletic body, dense water-resistant coat, floppy ears"
165,Dog,Retriever,beige,Large,Male,"friendly, loyal, gentle, intelligent, playful, patient, has expressive eyes","medium to large build, athletic body, dense water-resistant coat, floppy ears"
166,Dog,Retriever,orange,Large,Male,"friendly, loyal, gentle, intelligent, playful, patient, has a loud bark, is an excellent guard dog","medium to large build, athletic body, dense water-resistant coat, floppy ears"
167,Dog,Retriever,beige,Medium,Female,"friendly, loyal, gentle, intelligent, playful, patient, loves belly rubs","medium to large build, athletic body, dense water-resistant coat, floppy ears"
168,Dog,Retriever,orange,Large,Male,"friendly, loyal, gentle, intelligent, playful, patient, is always wagging tail, is fluffy","medium to large build, athletic body, dense water-resistant coat, floppy ears"
